,accuracy,precision,recall,f1_score,auc_roc,n_samples
young,0.8465045592705167,0.6343283582089553,0.6204379562043796,0.6273062730627307,0.8171259649466915,658.0
middle_age,0.7707633221315411,0.7485632183908046,0.6326654523375835,0.6857518920697598,0.8076162151257005,4166.0
senior,0.7117655634932206,0.7878573949876456,0.6186252771618626,0.6930600838379134,0.7719600689127889,6859.0
elderly,0.6607862903225806,0.797918473547268,0.6764705882352942,0.7321925984878631,0.6910333003393666,1984.0
