Age_Group,Baseline_Acc,Ensemble_Acc,Baseline_Recall,Ensemble_Recall,Acc_Change,Recall_Change
young,0.8647416413373861,0.8465045592705167,0.5182481751824818,0.6204379562043796,-0.01823708206686936,0.1021897810218978
middle_age,0.7777244359097456,0.7707633221315411,0.5877352762598664,0.6326654523375835,-0.00696111377820452,0.0449301760777171
senior,0.7100160373232249,0.7117655634932206,0.6601995565410199,0.6186252771618626,0.0017495261699956854,-0.041574279379157364
elderly,0.6990927419354839,0.6607862903225806,0.8411764705882353,0.6764705882352942,-0.03830645161290325,-0.16470588235294115
