feature,importance
ap_hi,0.39949962147764584
ap_lo,0.14575517302073548
age_years,0.10990348297781302
bp_risk,0.07297759903295148
cholesterol,0.05341602460604316
bmi,0.04479014294574635
risk_score,0.04146618967397036
weight,0.03741098937953994
cholesterol_risk,0.034544289703169466
height,0.025558803741955346
active,0.008354119701755924
gluc,0.007525362469886765
smoke,0.006964898382847401
gender,0.0042802670683642985
glucose_risk,0.004115754449138155
alco,0.003437281368437083
