,n_samples,accuracy,precision,recall,f1_score,auc_roc
young,658.0,0.8647416413373861,0.7553191489361702,0.5182481751824818,0.6147186147186147,0.8275144654440506
middle_age,4166.0,0.7777244359097456,0.7967078189300412,0.5877352762598664,0.676450034940601,0.8123816975202185
senior,6859.0,0.7100160373232249,0.7573926868044515,0.6601995565410199,0.7054642381163927,0.7723450348894865
elderly,1984.0,0.6990927419354839,0.7501639344262295,0.8411764705882353,0.7930675909878683,0.6967135652337857
