,n_samples,accuracy,precision,recall,f1_score,auc_roc,true_negatives,false_positives,false_negatives,true_positives
Female,8901.0,0.7382316593641164,0.7641365257259297,0.6811989100817438,0.7202881152460985,0.8071580468319075,3571.0,926.0,1404.0,3000.0
Male,4766.0,0.7333193453629878,0.7622990745250853,0.6665247018739353,0.7112019995455579,0.7979842760781927,1930.0,488.0,783.0,1565.0
